                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6511,                 2.5711,                 1.5615,                0.57339,                0.21471,                0.27697,                0.13892,                 1.4423,                  2.905,                 1.5197,             0.00065333,             0.00065333,             0.00065333
                      2,                 1.5613,                 2.0119,                 1.5112,                0.17968,                0.17296,                0.09656,                0.04201,                 1.9188,                 3.4892,                 2.1516,              0.0013069,              0.0013069,              0.0013069
                      3,                 1.5867,                 1.8755,                 1.5431,                0.48066,                0.41352,                0.39192,                0.19952,                 1.7905,                 3.0873,                 1.8648,              0.0019473,              0.0019473,              0.0019473
                      4,                  1.568,                 1.7827,                 1.5227,                0.52553,                0.42545,                0.44425,                0.21516,                 1.7427,                 2.5566,                 1.8048,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5671,                 1.6964,                 1.5263,                0.62229,                 0.4672,                0.51702,                0.26464,                 1.7054,                 1.8142,                 1.6396,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5374,                 1.5793,                 1.4861,                0.58667,                 0.4672,                0.51044,                0.26496,                 1.6318,                 1.8582,                 1.6091,               0.001901,               0.001901,               0.001901
                      7,                 1.5188,                 1.5321,                 1.4618,                0.68212,                 0.5169,                0.58245,                0.31665,                 1.6051,                 1.7042,                 1.5526,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4545,                 1.4231,                 1.4052,                0.66486,                0.55865,                0.59985,                0.33175,                 1.5241,                  1.568,                 1.5073,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4758,                 1.4345,                 1.4433,                0.61221,                0.49901,                0.51923,                0.27544,                 1.5662,                 1.9005,                 1.5466,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4523,                 1.4005,                 1.4259,                0.68779,                0.61752,                0.68359,                0.40181,                 1.3736,                 1.6071,                 1.4057,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4109,                 1.3181,                  1.398,                0.70625,                0.65408,                0.71574,                0.42529,                 1.3762,                 1.4059,                 1.3939,               0.001802,               0.001802,               0.001802
                     12,                 1.4056,                 1.3492,                 1.4045,                0.70325,                0.64811,                0.70369,                 0.4036,                 1.3909,                 1.4492,                 1.4163,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3987,                 1.2801,                 1.3729,                0.71476,                0.60835,                0.69621,                 0.4347,                 1.2825,                  1.308,                 1.3323,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3795,                 1.3059,                 1.3862,                0.73808,                0.54342,                0.66173,                0.39648,                 1.3909,                 1.4406,                  1.432,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3553,                 1.2844,                 1.3516,                0.76003,                0.64215,                0.75042,                0.46823,                 1.3032,                 1.2527,                 1.3531,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3601,                 1.2122,                 1.3477,                0.80616,                0.64491,                0.74824,                0.45684,                 1.3213,                 1.2731,                 1.3562,               0.001703,               0.001703,               0.001703
                     17,                 1.3327,                 1.1788,                 1.3228,                 0.7182,                0.63419,                  0.713,                0.43777,                 1.2721,                 1.3049,                 1.3142,              0.0016832,              0.0016832,              0.0016832
