                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2397,                 1.1097,                 1.2621,                 0.7985,                0.71141,                0.82172,                0.53938,                 1.1665,                  1.028,                 1.2072,                0.00022,                0.00022,                0.00022
                      2,                  1.135,                 1.0014,                 1.2234,                 0.7496,                 0.7434,                0.78891,                0.50633,                 1.2442,                 1.1223,                 1.2717,             0.00043723,             0.00043723,             0.00043723
                      3,                  1.189,                  1.024,                 1.2092,                0.74505,                0.70609,                0.77445,                0.48309,                 1.3141,                 1.1416,                 1.3257,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.1861,                 1.0321,                  1.217,                0.69546,                 0.5906,                0.65612,                0.39616,                 1.4379,                 1.4935,                 1.3888,             0.00080041,             0.00080041,             0.00080041
                      5,                  1.234,                 1.0871,                  1.229,                0.78087,                 0.5906,                0.71552,                0.45309,                 1.3314,                 1.2607,                 1.3219,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.1718,                  1.078,                 1.2208,                0.71901,                0.54362,                0.64192,                0.36683,                 1.4652,                 1.5248,                 1.4252,              0.0010685,              0.0010685,              0.0010685
                      7,                  1.201,                 1.0436,                 1.2506,                0.62581,                0.61735,                0.64147,                0.36498,                  1.473,                 1.5011,                 1.4679,               0.001167,               0.001167,               0.001167
                      8,                 1.2243,                  1.093,                 1.2543,                0.64174,                0.59732,                0.64626,                0.37432,                 1.4801,                 1.7388,                 1.4573,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.1934,                0.99774,                 1.1997,                0.65702,                 0.6814,                0.69504,                0.38518,                 1.4867,                  1.596,                 1.4513,               0.001208,               0.001208,               0.001208
                     10,                 1.1672,                 1.0637,                 1.2026,                0.59361,                0.62741,                0.60561,                0.33268,                 1.4421,                 1.9317,                 1.4372,               0.001109,               0.001109,               0.001109
                     11,                 1.1849,                 1.1248,                 1.2489,                0.60402,                 0.5906,                0.61046,                0.33049,                 1.5235,                 1.5101,                 1.5245,                0.00101,                0.00101,                0.00101
                     12,                 1.1373,                0.98774,                 1.1987,                0.65048,                0.59732,                0.63389,                0.33789,                 1.5424,                 1.5223,                 1.5605,               0.000911,               0.000911,               0.000911
                     13,                 1.1057,                0.92524,                 1.1565,                0.71741,                0.53691,                0.64005,                0.36729,                 1.4823,                 1.7356,                  1.471,               0.000812,               0.000812,               0.000812
                     14,                 1.0996,                0.95556,                 1.1467,                0.64485,                0.64585,                0.69039,                0.40739,                  1.366,                 1.5524,                  1.367,               0.000713,               0.000713,               0.000713
                     15,                 1.0674,                0.86806,                 1.1433,                0.61612,                0.60403,                 0.6363,                0.38331,                 1.3866,                 1.4992,                 1.3536,               0.000614,               0.000614,               0.000614
                     16,                 1.0612,                0.89325,                 1.1443,                0.73882,                0.57047,                0.69675,                0.43647,                 1.3333,                 1.3059,                 1.3384,               0.000515,               0.000515,               0.000515
                     17,                 1.0536,                0.85245,                 1.1409,                0.64365,                 0.7047,                0.70808,                0.44411,                 1.3126,                 1.3198,                 1.3207,               0.000416,               0.000416,               0.000416
                     18,                 1.0213,                0.78848,                 1.0964,                0.77217,                0.60403,                0.72478,                0.45091,                 1.2957,                 1.2438,                 1.3008,               0.000317,               0.000317,               0.000317
                     19,                 0.9585,                0.75106,                 1.0657,                0.71958,                 0.6443,                0.74385,                0.47481,                 1.2391,                 1.1608,                  1.276,               0.000218,               0.000218,               0.000218
                     20,                0.96058,                  0.744,                 1.0797,                0.71693,                0.65772,                0.74986,                0.47917,                 1.2334,                 1.1436,                 1.2682,               0.000119,               0.000119,               0.000119
