                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2101,                0.99789,                 1.2678,                0.82646,                0.83116,                0.90607,                0.64339,                0.98216,                0.82054,                 1.0937,                0.00034,                0.00034,                0.00034
                      2,                 1.2436,                 1.0527,                 1.2761,                0.76546,                0.80055,                0.86464,                0.58809,                 1.0678,                0.92359,                  1.147,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.2577,                 1.0678,                  1.296,                0.69268,                0.75486,                0.78532,                0.49953,                 1.1969,                 1.3166,                 1.2307,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.2822,                  1.158,                 1.3089,                0.68841,                0.67453,                0.72057,                 0.4373,                 1.2742,                 1.1844,                 1.2816,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.3158,                 1.1624,                    1.3,                0.68643,                0.66038,                0.70682,                0.42552,                 1.3107,                 1.3329,                 1.3088,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.2774,                 1.1187,                 1.2861,                0.68725,                0.67375,                0.71911,                0.44424,                 1.2845,                 1.4083,                 1.3073,               0.001505,               0.001505,               0.001505
                      7,                  1.287,                 1.1239,                  1.277,                0.77039,                0.60141,                0.72399,                0.43101,                 1.3565,                 1.3184,                 1.3504,               0.001406,               0.001406,               0.001406
                      8,                 1.3001,                 1.1152,                 1.3012,                0.74331,                0.66038,                0.76611,                0.45827,                 1.3485,                 1.2261,                 1.3346,               0.001307,               0.001307,               0.001307
                      9,                 1.2743,                 1.0689,                 1.2901,                0.78931,                0.66981,                0.78559,                 0.4817,                 1.2753,                 1.1199,                   1.32,               0.001208,               0.001208,               0.001208
                     10,                 1.2188,                 1.0538,                 1.2783,                 0.7702,                0.66509,                0.75443,                0.44933,                 1.3611,                 1.1342,                 1.3472,               0.001109,               0.001109,               0.001109
                     11,                 1.1977,                0.99109,                 1.2619,                0.78174,                0.61321,                0.71846,                 0.4317,                 1.3782,                 1.3433,                 1.3766,                0.00101,                0.00101,                0.00101
                     12,                 1.1606,                0.96773,                 1.2432,                0.67643,                0.70013,                0.75427,                0.47702,                 1.2727,                 1.2029,                 1.3269,               0.000911,               0.000911,               0.000911
                     13,                 1.1436,                 0.9018,                 1.2209,                0.80103,                0.61792,                0.74455,                0.46613,                 1.2537,                 1.1702,                 1.2884,               0.000812,               0.000812,               0.000812
                     14,                 1.0924,                0.87252,                 1.1889,                0.80103,                0.67925,                0.80427,                0.51647,                 1.2046,                 1.0516,                   1.23,               0.000713,               0.000713,               0.000713
                     15,                 1.1074,                0.84963,                 1.1938,                 0.7506,                0.66038,                0.77677,                 0.4877,                 1.2557,                 1.1135,                 1.2622,               0.000614,               0.000614,               0.000614
                     16,                 1.0501,                0.80381,                 1.1515,                0.81897,                0.64021,                0.79742,                0.51992,                 1.2147,                 1.0417,                 1.2408,               0.000515,               0.000515,               0.000515
                     17,                 1.0294,                0.78182,                 1.1506,                0.81021,                0.67453,                 0.7978,                0.53358,                 1.1653,                 1.0169,                 1.2193,               0.000416,               0.000416,               0.000416
                     18,                 1.0159,                0.77434,                 1.1496,                0.76102,                0.69097,                0.80403,                0.54067,                 1.1572,                 1.0075,                  1.196,               0.000317,               0.000317,               0.000317
                     19,                0.97404,                0.70332,                 1.1009,                0.76628,                0.72686,                0.82459,                0.56052,                 1.1332,                0.96076,                 1.1913,               0.000218,               0.000218,               0.000218
                     20,                0.97961,                0.70657,                  1.122,                0.75601,                0.74057,                0.83184,                0.56572,                 1.1179,                 0.9271,                 1.1848,               0.000119,               0.000119,               0.000119
