                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6808,                 2.7891,                  1.602,                0.78638,                0.08464,                0.27278,                0.12594,                 1.5474,                  3.002,                 1.4723,                0.00064,                0.00064,                0.00064
                      2,                 1.5716,                  2.053,                 1.4755,                0.43839,                0.27142,                0.26587,                0.12305,                 1.8974,                 2.6439,                 1.8619,              0.0012871,              0.0012871,              0.0012871
                      3,                  1.594,                 1.9905,                 1.5409,                0.41639,                0.33046,                0.31547,                0.14651,                 1.6773,                 2.6336,                 1.8157,              0.0019212,              0.0019212,              0.0019212
                      4,                 1.5645,                 1.8488,                 1.4988,                0.08704,                0.19642,                0.03697,                0.01387,                 2.1209,                 4.0756,                 2.4098,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5785,                 1.7838,                 1.5193,                0.42274,                0.34483,                0.34077,                0.14726,                 1.7126,                 2.8569,                 1.7462,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5678,                 1.7046,                  1.504,                0.28498,                0.37069,                0.24611,                0.12383,                 1.6752,                 2.7052,                 1.7432,               0.001901,               0.001901,               0.001901
                      7,                  1.541,                  1.655,                 1.4797,                0.51611,                0.41376,                0.43522,                0.22357,                 1.4738,                 2.3678,                 1.5279,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5138,                 1.5542,                 1.4541,                0.50447,                0.43678,                0.42722,                0.20602,                  1.679,                 2.1495,                 1.6513,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4919,                 1.5518,                 1.4499,                0.55706,                0.45977,                0.48891,                0.25717,                 1.5132,                 1.8801,                  1.511,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4872,                 1.4786,                 1.4468,                0.49875,                0.51752,                0.48272,                0.22873,                 1.6243,                 1.6426,                 1.5533,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4781,                 1.4416,                 1.4132,                0.62012,                0.53007,                0.56984,                0.31405,                 1.4125,                 1.5656,                 1.4532,               0.001802,               0.001802,               0.001802
                     12,                 1.4334,                 1.4098,                 1.3929,                0.60302,                0.48851,                0.53105,                0.28901,                 1.4539,                 1.6614,                  1.497,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.414,                 1.3643,                 1.3697,                0.58979,                0.50862,                0.54467,                0.30912,                  1.442,                 1.6553,                 1.4806,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4486,                 1.3981,                 1.4234,                0.64058,                0.58897,                0.61732,                0.35304,                 1.3433,                 1.7108,                 1.4002,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4017,                 1.3049,                 1.3621,                0.73995,                0.47423,                0.61762,                0.36194,                  1.416,                 1.4028,                 1.4552,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.417,                 1.2992,                 1.3777,                0.71665,                0.56609,                0.64298,                0.36151,                 1.4581,                 1.4849,                 1.4944,               0.001703,               0.001703,               0.001703
                     17,                 1.3429,                  1.335,                 1.3869,                0.60102,                0.55172,                0.57701,                0.32682,                 1.4073,                 1.5695,                 1.5027,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3645,                 1.3032,                 1.3666,                0.64486,                0.58961,                0.63871,                0.36563,                 1.3417,                 1.3481,                 1.4084,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3343,                 1.2721,                 1.3523,                0.60808,                0.56897,                0.59559,                0.35557,                 1.3809,                 1.4914,                 1.4427,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3647,                 1.2361,                 1.3601,                0.68636,                0.54598,                 0.6299,                 0.3745,                 1.2922,                 1.3818,                 1.3836,              0.0016238,              0.0016238,              0.0016238
